Eric,Turcotte,"30 rue Isambard",FORT-DE-FRANCE,97234
Quennel,Duplanty,"97 rue de Lille",ASNIERES-SUR-SEINE,92600
Amber,Monjeau,"85 rue Goya","LE PERREUX-SUR-MARNE",94170
Pascaline,Laramee,"52 rue Gustave Eiffel",ROANNE,42300
Christian,Boutot,"51 Avenue des Tuileries",GRIGNY,91350
Victorine,L'Anglais,"21 Avenue des Pr'es",MONTIGNY-LES-METZ,57158
Florus,Ricard,"59 rue Charles Corbeau",FLEURY-LES-AUBRAIS,45400
Maurelle,Labbe,"58 route de Lyon",ISSY-LES-MOULINEAUX,92130
Christine,Denis,"85 rue Beauvau",MARSEILLE,13003
Philip,Arnoux,"20 avenue de Provence",VALLAURIS,06220
