GivenName,Surname,StreetAddress,City,ZipCode
Christophe,"De La Vergne","64 avenue de Bouvines",SEVRAN,93270
Elita,Cartier,"46 rue des Soeurs","LA CIOTAT",13600
Senapus,Benoit,"36 Rue Hubert de Lisle",LOOS,59120
Erembourg,Lamarre,"68 rue de la Mare aux Carats",MONTPELLIER,34080
Mariette,Moquin,"41 rue Adolphe Wurtz","LE ROBERT",97231
Lance,Létourneau,"99 Cours Marechal-Joffre",DIEPPE,76200
Coralie,Saucier,"16 Rue Hubert de Lisle",LORMONT,33310
Corinne,Demers,"43 rue Porte d'Orange",CAVAILLON,84300
Pierpont,Émond,"24 rue du Gue Jacquet",CHÂTEAUROUX,36000
Thérèse,Boutot,"19 rue Banaudon",LYON,69007
Huette,Chartré,"45 rue Descartes",STRASBOURG,67100
Zoé,Hervieux,"34 rue du Gue Jacquet",CHÂTEAUROUX,36000
Huette,Sauriol,"96 place Stanislas",NANTES,44100
Creissant,Moïse,"3 Cours Marechal-Joffre",DIEPPE,76200
Christien,Chesnay,"52 Rue de Verdun",MONTCEAU-LES-MINES,71300
Searlas,Pouliotte,"38 boulevard Aristide Briand","LE BOUSCAT",33110
Merle,Goulet,"42 rue Banaudon",LYON,69007
Roger,Lafond,"91 avenue de Provence",VANNES,56000
Avent,Chartré,"18 boulevard d'Alsace",VÉLIZY-VILLACOUBLAY,78140
Burrell,Lafond,"19 route de Lyon",ILLKIRCH-GRAFFENSTADEN,67400
Aubrey,Chabot,"81 rue Jean Vilar",BEAUVAIS,60000
Xarles,Chandonnet,"88 Rue du Palais",ÉPINAL,88000
Esperanza,Bériault,"62 rue du Château",SAINT-ÉTIENNE-DU-ROUVRAY,76800
Verney,Bonenfant,"47 rue du Château",SAINT-HERBLAIN,44800
Peppin,Berthiaume,"35 rue Isambard",FOUGÈRES,35300
Fortun,Bossé,"25 rue Victor Hugo",CONFLANS-SAINTE-HONORINE,78700
Prunella,Quenneville,"7 rue Petite Fusterie",BOURGOIN-JALLIEU,38300
"La Roux",Fongemie,"30 rue de la Mare aux Carats",MONTPELLIER,34070
Mireille,Gabriaux,"17 Quai des Belges",MAUBEUGE,59600
Hortense,Dupéré,"70 Place Charles de Gaulle",VILLENEUVE-D'ASCQ,59650
Alita,Houde,"75 avenue Jean Portalis",TOURS,37200
Bellamy,L'Angelier,"22 rue Jean Vilar",BERGERAC,24100
Charmaine,Bellefeuille,"84 avenue de Bouvines",SENS,89100
Rosamonde,Perreault,"18 rue de la Boétie",PLAISIR,78370
Kerman,Paquin,"98 cours Franklin Roosevelt",MARSEILLE,13010
Amedee,Parenteau,"98 Chemin des Bateliers",AJACCIO,20000
Zerbino,Guay,"63 rue Bonneterie",MONS-EN-BAROEUL,59370
Channing,Jalbert,"95 Rue de Verdun",MONTGERON,91230
Bernard,Sicard,"42 Rue Frédéric Chopin",VERNON,27200
Arnaude,Perreault,"74 rue des Nations Unies",SAINT-DENIS,93200
Demi,Tétrault,"94 rue Pierre Motte",SAINTE-ANNE,97180
